name	human	mouse
Lower_cortical_neuron	RUNX1T1	Runx1t1
Upper_cortical_neuron	MAPT	Mapt
Housekeeping	FRMD8	Frmd8
Stress_panel	GADD45G	Gadd45g
Cell_cycle_G2M_phase	CCDC107	Ccdc107
Cell_cycle_S_phase	CCDC14	Ccdc14
Early_marker	NCL	Ncl
Late_neural_progenitor	SULF1	Sulf1
Neural_progenitor_proteomics	LTBP1	Ltbp1
Transient_neuronal_regulation	PKDCC	Pkdcc
Ectoderm	PAX3	Pax3
Endoderm	LEFTY1	Lefty1
Mesoderm	TM4SF1	Tm4sf1
Neuronal_marker	NR6A1	Nr6a1
Neural Crest	SOX10	Sox10
Calcium_ion_channel	CACNB4	Cacnb4
Chloride_ion_channel	CLCN6	Clcn6
Potassium_ion_channel	KCNF1	Kcnf1
Sodium_ion_channel	SCN8A	Scn8a
Voltage_gated_ion_channel	CACNB4	Cacnb4
Gap_junction_proteins	GJC2	Gjc2
Ligand_gated_ion_channels	GABRA2	Gabra2
Porins	MIP	Mip
Sesory_neuron	PIEZO2	Piezo2
Glia	SFRP1	Sfrp1
Lower_cortical_neuron	SCG3	Scg3
Upper_cortical_neuron	MEF2C	Mef2c
Housekeeping	GAPDH	Gapdh
Stress_panel	GAL	Gal
Cell_cycle_G2M_phase	CCNA2	Ccna2
Cell_cycle_S_phase	CCDC150	Ccdc150
Early_marker	PODXL	Podxl
Late_neural_progenitor	TMSB10	Tmsb10
Neural_progenitor_proteomics	NCAM1	Ncam1
Transient_neuronal_regulation	PRRC2C	Prrc2c
Ectoderm	PAX6	Pax6
Endoderm	LEFTY2	Lefty2
Mesoderm	ABCA4	Abca4
Neuronal_marker	PAX6	Pax6
Neural Crest	TAGLN3	Tagln3
Calcium_ion_channel	CACNG1	Cacng1
Chloride_ion_channel	CLCN7	Clcn7
Potassium_ion_channel	KCNG1	Kcng1
Sodium_ion_channel	SCN9A	Scn9a
Voltage_gated_ion_channel	CACNG1	Cacng1
Gap_junction_proteins	GJC3	Gjc3
Ligand_gated_ion_channels	GABRA3	Gabra3
Porins	VDAC1	Vdac1
Sesory_neuron	TH	Th
Glia	SLC1A3	Slc1a3
Lower_cortical_neuron	SNAP25	Snap25
Upper_cortical_neuron	MSRA	Msra
Housekeeping	GGA1	Gga1
Stress_panel	GCLC	Gclc
Cell_cycle_G2M_phase	CCNF	Ccnf
Cell_cycle_S_phase	CCDC84	NA
Early_marker	RAN	Ran
Late_neural_progenitor	TMSB15A	Tmsb15a
Neural_progenitor_proteomics	NGFR	Ngfr
Transient_neuronal_regulation	SEZ6	Sez6
Ectoderm	POU4F1	Pou4f1
Endoderm	NODAL	Nodal
Mesoderm	ALOX15	Alox15
Neuronal_marker	PRDX1	Prdx1
Neural Crest	TFAP2A	Tfap2a
Calcium_ion_channel	CACNG2	Cacng2
Chloride_ion_channel	CLCNKA	Clcnka
Chloride_ion_channel	CLCNKA	Clcnkb
Potassium_ion_channel	KCNG2	Kcng2
Sodium_ion_channel	SCNN1A	Scnn1a
Voltage_gated_ion_channel	CACNG2	Cacng2
Gap_junction_proteins	GJD2	Gjd2
Ligand_gated_ion_channels	GABRA4	Gabra4
Porins	VDAC2	Vdac2
Sesory_neuron	FAM19A4	NA
Glia	SOX2	Sox2
Lower_cortical_neuron	SNCA	Snca
Upper_cortical_neuron	NCAM1	Ncam1
Housekeeping	GPI	Gpi1
Stress_panel	GCLM	Gclm
Cell_cycle_G2M_phase	CDC16	Cdc16
Cell_cycle_S_phase	CDC45	Cdc45
Early_marker	S100A10	S100a10
Late_neural_progenitor	TPM1	Tpm1
Neural_progenitor_proteomics	NRCAM	Nrcam
Transient_neuronal_regulation	SFRP1	Sfrp1
Ectoderm	PRKCA	Prkca
Endoderm	POU3F3	Pou3f3
Mesoderm	COLEC10	Colec10
Neuronal_marker	PTN	Ptn
Neural Crest	TFAP2B	Tfap2b
Calcium_ion_channel	CACNG3	Cacng3
Chloride_ion_channel	CLCNKB	Clcnka
Chloride_ion_channel	CLCNKB	Clcnkb
Potassium_ion_channel	KCNG3	Kcng3
Sodium_ion_channel	SCNN1B	Scnn1b
Voltage_gated_ion_channel	CACNG3	Cacng3
Gap_junction_proteins	GJD3	Gjd3
Ligand_gated_ion_channels	GABRA5	Gabra5
Porins	VDAC3	Vdac3
Sesory_neuron	RUNX3	Runx3
Glia	SYNE2	Syne2
Lower_cortical_neuron	SYT1	Syt1
Upper_cortical_neuron	NELL2	Nell2
Housekeeping	HERC4	Herc4
Stress_panel	GSR	Gsr
Cell_cycle_G2M_phase	CDC25C	Cdc25c
Cell_cycle_S_phase	CDC7	Cdc7
Early_marker	SEPHS1	Sephs1
Late_neural_progenitor	TSHZ2	Tshz2
Neural_progenitor_proteomics	PALLD	Palld
Transient_neuronal_regulation	SLC16A1	Slc16a1
Ectoderm	SDC2	Sdc2
Endoderm	SOX17	Sox17
Mesoderm	ESM1	Esm1
Neuronal_marker	RBFOX3	Rbfox3
Calcium_ion_channel	CACNG4	Cacng4
Chloride_ion_channel	CLIC1	Clic1
Potassium_ion_channel	KCNG4	Kcng4
Sodium_ion_channel	SCNN1D	NA
Voltage_gated_ion_channel	CACNG4	Cacng4
Gap_junction_proteins	GJD4	Gjd4
Ligand_gated_ion_channels	GABRA6	Gabra6
Sesory_neuron	PVALB	Pvalb
Glia	ZFHX4	Zfhx4
Lower_cortical_neuron	SYT4	Syt4
Upper_cortical_neuron	NEUROD6	Neurod6
Housekeeping	MKNK1	Mknk1
Stress_panel	GSTP1	Gstp1
Stress_panel	GSTP1	Gstp2
Stress_panel	GSTP1	Gstp3
Cell_cycle_G2M_phase	CDCA2	Cdca2
Cell_cycle_S_phase	CDCA5	Cdca5
Early_marker	SFPQ	Sfpq
Late_neural_progenitor	TXNIP	Txnip
Neural_progenitor_proteomics	PAMR1	Pamr1
Transient_neuronal_regulation	SYT6	Syt6
Ectoderm	SOX1	Sox1
Endoderm	SOX7	Sox7
Mesoderm	FCN3	NA
Neuronal_marker	SLC17A6	Slc17a6
Calcium_ion_channel	CACNG5	Cacng5
Chloride_ion_channel	CLIC2	NA
